Category,Recognizer,NE,Type,File
Sculptors,stanza,Bulwinkle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Mildred Howard,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Leo Sewell,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Clayton Bailey,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Claire Graham,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Jan Yager,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Remi Rubel,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Pippa Garner,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Kate Cory,PERSON,KateCory_Sculptors_en.txt
Sculptors,spacy,"February 8, 1861 – June 12, 1958",DATE,KateCory_Sculptors_en.txt
Sculptors,spacy,American,NORP,KateCory_Sculptors_en.txt
Sculptors,spacy,New York,GPE,KateCory_Sculptors_en.txt
Sculptors,spacy,United States,GPE,KateCory_Sculptors_en.txt
Sculptors,spacy,1905,DATE,KateCory_Sculptors_en.txt
Sculptors,spacy,several years,DATE,KateCory_Sculptors_en.txt
Sculptors,spacy,about 600,CARDINAL,KateCory_Sculptors_en.txt
Sculptors,stanza,Kate Cory,PERSON,KateCory_Sculptors_en.txt
Sculptors,stanza,"February 8 , 1861",DATE,KateCory_Sculptors_en.txt
Sculptors,stanza,"June 12 , 1958",DATE,KateCory_Sculptors_en.txt
Sculptors,stanza,American,NORP,KateCory_Sculptors_en.txt
Sculptors,stanza,New York,GPE,KateCory_Sculptors_en.txt
Sculptors,stanza,United States,GPE,KateCory_Sculptors_en.txt
Sculptors,stanza,1905,DATE,KateCory_Sculptors_en.txt
Sculptors,stanza,Hopi,NORP,KateCory_Sculptors_en.txt
Sculptors,stanza,several years,DATE,KateCory_Sculptors_en.txt
Sculptors,stanza,about 600,CARDINAL,KateCory_Sculptors_en.txt
Sculptors,spacy,Ö. Fülöp Beck,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Hungarian,NORP,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Beck Ödön Fülöp,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Beck Ötvös Fülöp,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Beck Ö. Fülöp,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Hebrew,LANGUAGE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,1873,DATE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Pápa,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Hebrew,LANGUAGE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,German,NORP,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Veszprém Co,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Royal Hungary,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Imp,GPE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,& R. Austria – 1945,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Budapest,GPE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Hungarian,NORP,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,"Endre Ady, Sándor Petőfi",FAC,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Ferenc Liszt,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Mihály Babits,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Kelemen Mikes,ORG,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,500,CARDINAL,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Zoltán Kodály,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Zsigmond Móricz,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,Art Nouveau,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Ö. Fülöp Beck,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Hungarian,NORP,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Beck Ödön Fülöp,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Beck Ötvös Fülöp,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Beck Ö. Fülöp,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Hebrew,NORP,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,1873,DATE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Pápa,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Yiddish,LANGUAGE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Hebrew,LANGUAGE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,German,NORP,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Poppa,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Veszprém Co,ORG,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Royal Hungary,ORG,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Imp . & R. Austria,WORK_OF_ART,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,1945,DATE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Budapest,GPE,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Hungarian,NORP,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Endre Ady,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Sándor Petőfi,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Ferenc Liszt,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Mihály Babits,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Kelemen Mikes,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,500,CARDINAL,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Zoltán Kodály,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Zsigmond Móricz,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,stanza,Art Nouveau,PERSON,FülöpÖ.Beck_Sculptors_en.txt
Sculptors,spacy,David Booker,PERSON,DavidBooker_Sculptors_en.txt
Sculptors,spacy,1954,DATE,DavidBooker_Sculptors_en.txt
Sculptors,spacy,Australian,NORP,DavidBooker_Sculptors_en.txt
Sculptors,stanza,David Booker,PERSON,DavidBooker_Sculptors_en.txt
Sculptors,stanza,1954,DATE,DavidBooker_Sculptors_en.txt
Sculptors,stanza,Australian,NORP,DavidBooker_Sculptors_en.txt
Sculptors,spacy,Lynda Benglis,PERSON,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,"October 25, 1941",DATE,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,American,NORP,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,New York City,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,Santa Fe,ORG,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,New Mexico,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,Kastellorizo,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,Greece,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,Ahmedabad,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,India,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,stanza,Lynda Benglis,PERSON,LyndaBenglis_Sculptors_en.txt
Sculptors,stanza,"October 25 , 1941",DATE,LyndaBenglis_Sculptors_en.txt
Sculptors,stanza,American,NORP,LyndaBenglis_Sculptors_en.txt
Sculptors,stanza,New York City,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,stanza,Santa Fe,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,stanza,New Mexico,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,stanza,Kastellorizo,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,stanza,Greece,GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,stanza,"Ahmedabad , India",GPE,LyndaBenglis_Sculptors_en.txt
Sculptors,spacy,Abed Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Arabic,LANGUAGE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Hebrew,LANGUAGE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,February 1942,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Palestinian,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Arabic,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Israel,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Dresden,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,first,ORDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Palestinian,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Galilee,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Elijah,ORG,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Land Day memorial,EVENT,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,first,ORDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Tel Aviv,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1962,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,the Fine Arts Academy,ORG,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Dresden,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Germany,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Lea Grundig,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Gerhard Bondzin,ORG,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Gerhard Kettner,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,2nd,ORDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,another year,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1972,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Arabic,LANGUAGE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Hermann Struck Best Artist of the Year,WORK_OF_ART,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1973,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,That year,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,the Young Artist's,ORG,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,the Berlin International Youth Festival,FAC,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Best Artist of the Year Hermann Struck,WORK_OF_ART,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,second,ORDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1999,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Abed Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1977,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,the Land Day of 1976,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1984,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,75 years,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Galilean,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Shefa Amr,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Jaffa,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Nazareth,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Abed Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Qatar,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Israel,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Belgium,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Bulgaria,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,over 45,CARDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Palestinian,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,US,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Germany,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,between 1988 and 1990,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1995,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,second,ORDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Palestinians,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Israelis,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Germany,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Solidarity,ORG,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Palestinian,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Tokyo,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Berlin,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Brussels,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Belgrade,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Athens,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Israeli,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Palestinian,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Tel-Aviv,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,West Jerusalem,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1980,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1987,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,the Israeli Association of Painters and Sculptures,ORG,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Jewish,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Palestinian,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Israeli,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Arab,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Israeli,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Ara belle - Visual Arts Workshop,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Al Midan Theater,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,the Arab Pedagogical College,ORG,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,spacy,1985,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Abed Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Arabic,LANGUAGE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Hebrew,LANGUAGE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,February 1942,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Palestinian,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Arabic,LANGUAGE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Israel,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Dresden,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,first,ORDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Palestinian,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Galilee,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Elijah,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Land Day,EVENT,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,first,ORDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Tel Aviv,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,1962,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,the Fine Arts Academy,ORG,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Dresden,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Germany,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Lea Grundig,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Gerhard Bondzin,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Gerhard Kettner,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,2nd,ORDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,1972,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Arabic,LANGUAGE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,"the "" Hermann Struck Best Artist of the Year "" Prize",WORK_OF_ART,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,1973,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,That year,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,the Young Artist 's,WORK_OF_ART,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,the Berlin International Youth Festival,EVENT,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,"the "" Best Artist of the Year Hermann Struck """,WORK_OF_ART,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,second,ORDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,1999,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Abed Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,1977,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,the Land Day of 1976,EVENT,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,1984,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,75 years,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Galilean,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Shefa Amr,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Haifa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Jaffa,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Nazareth,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Abed Abdi,PERSON,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Qatar,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Israel,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Belgium,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Bulgaria,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,45,CARDINAL,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Palestinian,NORP,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,US,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,Germany,GPE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,between 1988 and 1990,DATE,AbedAbdi_Sculptors_en.txt
Sculptors,stanza,1995,DATE,AbedAbdi_Sculptors_en.txt
